"","Date","Researcher","Region","Sampling.Site","Sample.ID","Height.cm._1","Height.cm._2","Height.cm._3","Height.cm._4","Height.cm._5","Average_Height","Eye.Color","File.No.","File.Used","Reflection","E_Inner_R_Arm_1","M_Inner_R_Arm_1","E_Inner_R_Arm_2","M_Inner_R_Arm_2","E_Inner_R_Arm_3","M_Inner_R_Arm_3","E_Inner_R_Arm_4","M_Inner_R_Arm_4","E_Inner_R_Arm_5","M_Inner_R_Arm_5","E_Inner_L_Arm_1","M_Inner_L_Arm_1","E_Inner_L_Arm_2","M_Inner_L_Arm_2","E_Inner_L_Arm_3","M_Inner_L_Arm_3","E_Inner_L_Arm_4","M_Inner_L_Arm_4","E_Inner_L_Arm_5","M_Inner_L_Arm_5","E_Wrist_Arm_1","M_Wrist_Arm_1","E_Wrist_Arm_2","M_Wrist_Arm_2","E_Wrist_Arm_3","M_Wrist_Arm_3","E_Wrist_Arm_4","M_Wrist_Arm_4","E_Wrist_Arm_5","M_Wrist_Arm_5","avg_E_Inner_R","avg_E_Inner_L","avg_M_Inner_R","avg_M_Inner_L","Final_E","Final_M"
"66","8/9/19","DA","Karoo","BVL","SA4066",139,138.9,NA,NA,NA,138.95,"dark brown","1463-1466",NA,"N",16.9,56.1,17.2,57.1,15.3,58.5,16.7,57.6,16.1,53.6,22.6,63.6,19.8,57.8,18.2,52.1,18.9,61.7,20.7,66.2,22.5,76.6,22.4,71.8,22.9,75.3,24,76.6,23.9,79.8,16.5666666666667,19.8,56.9333333333333,61.0333333333333,18.1833333333333,58.9833333333333
"68","8/10/19","DA","Karoo","BVL","SA4068",149.8,149.8,NA,NA,NA,149.8,"light brown","1455-1459",NA,"N",16,59.2,17,61.1,15.6,55.7,14.9,53.6,15.1,55.9,17.2,56.1,16.8,54.2,17.3,52.2,15.4,52.4,15.6,51.3,19,73.8,20.5,73.2,19.2,74.5,19.8,71,18.3,67.3,15.5666666666667,16.5333333333333,56.9333333333333,52.9333333333333,16.05,54.9333333333333
"70","8/10/19","DA","Karoo","BVL","SA4070",NA,NA,NA,NA,NA,NA,"dark brown","1471-1474",NA,"N",14.8,41.9,16.1,42.3,15.9,42.1,14.7,41.6,15.5,44.9,16.5,46.9,13.4,42.6,18.7,48.7,16.5,45.9,18.5,47.8,19.2,62.5,18.8,61.3,23.9,65.6,20,65,21.4,62.2,15.4,17.1666666666667,42.1,46.8666666666667,16.2833333333333,44.4833333333333
"71","8/10/19","DA","Karoo","BVL","SA4071",168,167.9,NA,NA,NA,167.95,"light brown","1475-1477",NA,"N",13.3,46,14.5,43.7,13.2,45,14.5,44,15.7,48.3,12.9,45.7,14.2,43.2,12.4,46.5,14,46.7,16,50.5,19.3,55.8,21.6,61.7,19.2,55.8,21.4,56,19.5,53.7,14.1,13.7,45,46.3,13.9,45.65
"75","8/12/19","DA","Karoo","BVL","SA4075",154.9,155.2,NA,NA,NA,155.05,"light brown","1488-1491",NA,"N",19.1,54.9,19,56.3,17,54.4,16.2,53.3,16.5,52.5,19.4,59.1,20,58.5,19,56.8,17.8,55.7,18.7,58,19.6,64.8,19,63.8,19.3,67.2,19.5,72.3,21.5,70.2,17.5,19.0333333333333,54.2,57.7666666666667,18.2666666666667,55.9833333333333
"76","8/12/19","DA","Karoo","BVL","SA4076",154.1,155.9,NA,NA,NA,155,"dark brown","1492-1495",NA,"N",14,53.6,15,54,15.3,53.2,14.4,53.2,15.8,53.2,13.2,50.2,12.7,49.8,13.8,51.1,13.2,49.8,13.5,52,21.4,70,21.7,67,19.5,75.2,20.2,71.2,23,68,14.9,13.3,53.6,50.65,14.1,52.125
"77","8/12/19","DA","Karoo","BVL","SA4077",160.2,160.4,NA,NA,NA,160.3,"light brown","1496-1500",NA,"N",14.9,50,13.9,46.5,14.2,47.2,13.8,46.1,13.7,46.6,14.2,45,13.8,43.9,14.7,46.6,15.6,49,14,46.1,22.7,72.9,19.3,58.7,21,69.7,23.1,70.8,20.4,76.1,13.9666666666667,14.3,46.7666666666667,45.9,14.1333333333333,46.3333333333333
"79","8/12/19","DA","Karoo","BVL","SA4079",151.2,150.6,NA,NA,NA,150.9,"light brown","1508-1510",NA,"N",16.4,52.9,16.1,52.3,16.2,53.1,16.7,55.1,17.7,61.3,16.7,60,16.4,53.9,16.8,57.5,17.7,57.1,19.4,59,22.1,69.4,21.5,76.3,24.2,72.3,21,70.5,21.3,65.4,16.4333333333333,17.0666666666667,53.7,57.8666666666667,16.75,55.7833333333333
"80","8/12/19","DA","Karoo","BVL","SA4080",160.2,161.5,NA,NA,NA,160.85,"dark brown","1511-1514",NA,"N",12.6,53.1,15.2,53.3,13.6,53.1,14.9,56.7,14.2,53.9,13.8,55.9,14,53,15.4,53.1,12.2,50.6,15.1,55.3,23.4,80.7,25.3,87.8,23.1,85.6,23.4,82.5,21.1,76.9,14.2333333333333,14.3,53.6,53.8,14.2666666666667,53.7
"81","8/12/19","DA","Karoo","BVL","SA4081",145.5,145.6,NA,NA,NA,145.55,"dark brown","1515-1517",NA,"N",15.2,63.1,16.5,64.8,16.5,63.4,17.3,66.6,20.5,68.2,16.1,61.5,17.1,62.2,19.6,65.3,14.5,63.4,14.4,58.6,22.4,107.6,22.7,108.3,23.1,100.8,22.5,105.6,21.6,95.4,16.7666666666667,15.9,64.9333333333333,62.3666666666667,16.3333333333333,63.65
