AFR_GENE	AMR_GENE	CSA_GENE	EAS_GENE	EUR_LIST	PVAL_META_GENE
AGBL4	SLC45A2	CTXN2	OCA2	ACHE	ACHE
LMO4		HERC2		ACSS1	ACSS1
SNX27		MYEF2		ADAMTSL4-AS1	ADAMTS12
MRPL9		NOX4		AFG3L1P	ADAMTSL4-AS1
OAZ3		SLC12A1		AGXT2	AFG3L1P
TDRKH		SLC24A5		ALX1	AGXT2
LOC101927123		SLC45A2		ANXA9	ALX1
TYRP1		TYR		ARNT	ANXA9
INVS				ATP8B4	ARNT
SLC24A5				ATXN7L1	ATP8B4
MYEF2				BCL2L1	ATXN7L1
CTXN2				C16orf3	BCL2L1
SLC12A1				C20orf24	BNC2
DUT				CADM2	C16orf3
RBFOX3				CDKL1	C20orf24
LMTK3				CENPBD1	CADM2
				CERS2	CDKL1
				CNTN2	CENPBD1
				CTSK	CERS2
				CTSS	CNTN2
				DBNDD1	CPSF7
				DCT	CTSK
				DEF8	CTSS
				DISC1FP1	CTXN2
				DLGAP4	DBNDD1
				DSN1	DCT
				DSTYK	DEF8
				EFR3B	DISC1FP1
				ENSA	DLGAP4
				ENTPD6	DSN1
				EPHB4	DSTYK
				EXOC2	DUT
				FAM129B	EFR3B
				GAS8	ENSA
				GCNT2	ENTPD6
				GENE	EPHB4
				GINS1	EXOC2
				GOLPH3L	FAM129B
				GORAB	GAS8
				GPR98	GINS1
				HCK	GOLPH3L
				HM13	GORAB
				HMCN1	GPR98
				HORMAD1	GRM5
				IRF4	HCK
				KIAA0930	HERC2
				KIAA2026	HM13
				KIF3B	HMCN1
				L2HGDH	HORMAD1
				LEMD1	INVS
				LINC01212	IRF4
				LOC100506325	KIAA0930
				LOC101926987	KIAA2026
				LRRC46	KIF3B
				LRRIQ1	L2HGDH
				MANBAL	LEMD1
				MITF	LINC01212
				MLANA	LOC100506325
				MROH8	LOC101926987
				MRPL10	LRRC46
				MUC17	LRRIQ1
				MYLK2	MANBAL
				NDRG3	MITF
				NINL	MLANA
				NUAK2	MROH8
				OSBPL7	MRPL10
				PNPT1	MRPL9
				POFUT1	MUC17
				PRDM7	MYEF2
				PRLR	MYLK2
				RABGAP1	NDRG3
				RBBP5	NINL
				RBL1	NOX4
				RPN2	NUAK2
				RUNX3	OAZ3
				SAMHD1	OCA2
				SCRN2	OSBPL7
				SETDB1	POFUT1
				SLA2	PRDM7
				SLC12A9	PRLR
				SLC6A17	RABGAP1
				SOGA1	RBBP5
				SOS2	RBFOX3
				SOX6	RBL1
				SP2	RPN2
				SP6	RUNX3
				SRC	SAMHD1
				SRPK2	SCRN2
				SRRT	SCRN3
				TGIF2	SDHAF2
				TGIF2-C20orf24	SETDB1
				TLDC2	SLA2
				TM9SF4	SLC12A1
				TMCC2	SLC12A9
				TMEM81	SLC24A5
				TPX2	SLC45A2
				TRIP6	SLC6A17
				TTLL9	SNX27
				TUBB3	SOGA1
				UBC	SOS2
				URAHP	SOX6
				ZAN	SP2
					SP6
					SRC
					SRPK2
					SRRT
					TDRKH
					TGIF2
					TGIF2-C20orf24
					TLDC2
					TM9SF4
					TMCC2
					TMEM216
					TMEM81
					TPX2
					TRIP6
					TTLL9
					TUBB3
					TYR
					TYRP1
					UBC
					URAHP
					ZAN
